id,custom_id,error,response.status_code,response.request_id,response.body.id,response.body.object,response.body.created,response.body.model,response.body.choices,response.body.usage.prompt_tokens,response.body.usage.completion_tokens,response.body.usage.total_tokens,response.body.usage.prompt_tokens_details.cached_tokens,response.body.usage.completion_tokens_details.reasoning_tokens,response.body.system_fingerprint,Class
batch_req_6706afaccf788190a438ed5b8fe2cc3b,task-0,,200,970d8c843b1b4fd5e38676d45c6a9159,chatcmpl-AGT1YdzHkN1TS2HSIxNcIwJLCzXzV,chat.completion,1728488180,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706aface8d481909fd8361e120d1c81,task-1,,200,16b6daa0cde444eb322c556c6c1fca07,chatcmpl-AGT1ghAQofPuV1brf7UbcGkdvNCjD,chat.completion,1728488188,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afad15248190a5700892529dad4a,task-2,,200,0cf10a24fbdce9187c46abaf5544c019,chatcmpl-AGT1Zq8QYsJ5SUVuOd5Pkt6zJA17r,chat.completion,1728488181,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_74ba47b4ac,Fauna_Flora
batch_req_6706afad2c84819086dc0ae3ddc88026,task-3,,200,1d0ce1e665264b65e9fa2ff289199575,chatcmpl-AGT1qmEU6Y4om569Tvi29qGONXRoc,chat.completion,1728488198,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_74ba47b4ac,Fauna_Flora
batch_req_6706afad3ab0819097210b0f26f2ed65,task-4,,200,85688a3db8e3a318ff18ffbbd53f179a,chatcmpl-AGT1hbssRTuCObzs9pIWFPhm5Lp6Q,chat.completion,1728488189,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afad50708190888881f924d4d49c,task-5,,200,6840087191e26e3f13885c5b68ad7dba,chatcmpl-AGT1ZxfZRH6WrJK0oTOYVjQhurkvJ,chat.completion,1728488181,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afad62808190aec05ed9d02aadcf,task-6,,200,2107f674ab4538a0152415ef88cc2940,chatcmpl-AGT1hhngaqeoxBaRpkUquZKb2jIOj,chat.completion,1728488189,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_e2bde53e6e,Fauna_Flora
batch_req_6706afad73188190a1f1cfc0d4b3fd77,task-7,,200,80e7069a55bc559e8e79c12434c58dfa,chatcmpl-AGT1i5ijtEB00qGFg8zGHEb3kgzN1,chat.completion,1728488190,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afad863481909b7513708eb74831,task-8,,200,02c2781772c4d176f0ca79a823dac4ea,chatcmpl-AGT1u9Iwrthng3GmRamkUAHQsXuUc,chat.completion,1728488202,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afad96d081909d8e2003049223c0,task-9,,200,766dc518a20969c947801ae000934cf9,chatcmpl-AGT26x9WTWBUL2Qk3KjXDNGeNrkAF,chat.completion,1728488214,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afadaca48190a05525eaba148f77,task-10,,200,0c65236183bd9bdf58e4ba5e448a3146,chatcmpl-AGT2HKXhs0oYZPm9TVx3IFZDydvnO,chat.completion,1728488225,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afadbe408190ae209737b9b0e5c4,task-11,,200,a415c8b0a58fa4c9c5cdcf87f2a159b9,chatcmpl-AGT2WMGulSH1tuYSsqs9HjURcfX0r,chat.completion,1728488240,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
batch_req_6706afadd86c8190a14a1c2c7cf2197f,task-12,,200,5ca67c02c4423305fc58896d68bf8eee,chatcmpl-AGT1h5xZ6gvrxgCS4pZlXcyZsor98,chat.completion,1728488189,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",95,5,100,0,0,fp_f85bea6784,Fauna_Flora
