id,custom_id,error,response.status_code,response.request_id,response.body.id,response.body.object,response.body.created,response.body.model,response.body.choices,response.body.usage.prompt_tokens,response.body.usage.completion_tokens,response.body.usage.total_tokens,response.body.usage.prompt_tokens_details.cached_tokens,response.body.usage.completion_tokens_details.reasoning_tokens,response.body.system_fingerprint,Class
batch_req_66fd7d70b98881908f46d095d7ac66ac,task-0,,200,1eb1ff87522690b6969e8f309f2eb6f6,chatcmpl-ADwvAiakpEccfa0T7fxURlJEdQPha,chat.completion,1727888120,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d70cbbc819090f592b122131cd8,task-1,,200,b4b65ca5cddaed956e53527e83776bca,chatcmpl-ADwtkdN5pDCB9YMfI3PS65QBEujSa,chat.completion,1727888032,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d70dc188190ae9eb845b0a11c8d,task-2,,200,9d449d86c56715530f7dfacfc6cc466f,chatcmpl-ADwthRzsaasTfkyCuuY7X4dobTa7x,chat.completion,1727888029,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d7107d88190961b4719e1ec35ed,task-3,,200,e9fcac9b2ce9a38824995ec068e1fd22,chatcmpl-ADwuODtKDe63RcSHBDmyKRcyXTTgo,chat.completion,1727888072,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d7117188190b9b9e3673e472abe,task-4,,200,dfc35632b9ce586c8de29340510935b2,chatcmpl-ADwv2RR5SxmuCbARxWXsULRHz7LS6,chat.completion,1727888112,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_74ba47b4ac,Fauna_Flora
batch_req_66fd7d712d388190a25228401b69392e,task-5,,200,f70e444d4206f20a0284da7996868179,chatcmpl-ADwvOLEbLnrIicgfcn3dD9P6iI866,chat.completion,1727888134,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d713c088190b1dc8818606fc749,task-6,,200,87a7320d5b4217cb69e85c579c9e1b6b,chatcmpl-ADwveJ94hZRGs0pyc1Y1FcMZ8TTu6,chat.completion,1727888150,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d714be08190a0c060f102c7ec72,task-7,,200,5b2394e4d52b7226e54936ba31979a89,chatcmpl-ADwwZfMwgsfjeQ7mmRkkUVIQRQZgm,chat.completion,1727888207,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d715d448190ae497d04d67177e0,task-8,,200,4d84eb3083f970e0867cd806dd746c9a,chatcmpl-ADwv0A5RqtRBUhapkX0YkdFszcBCO,chat.completion,1727888110,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d716ce881909f5ca843a9d2f404,task-9,,200,3b1593dc2739ce9d111570661381ca4f,chatcmpl-ADwuvg3gMBw8zuqgzg7iGU3XCQ7g6,chat.completion,1727888105,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d717ea081909a1b35ccef2387f5,task-10,,200,1b20558b4d55a293302b610d517c73cf,chatcmpl-ADwu4eO31juXVjR1JfvWGaSRWUTcP,chat.completion,1727888052,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d71931c819082f9e0c104f37928,task-11,,200,1599fe90831710181817625f6e1ccea5,chatcmpl-ADwvZyqP3F9NTbBhf6pRA7Yzar90e,chat.completion,1727888145,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d71aab4819084ec620a226a6204,task-12,,200,00977c64953f8f21af3c360f5df4a7a5,chatcmpl-ADwvzSiLlBaD45ERJ6PJakxQSkB65,chat.completion,1727888171,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d71b9a481909031bf8a80717989,task-13,,200,94aa71f1674e40541f8d43b840ae0adf,chatcmpl-ADwv4byQ09apu8qaxVNWfgxsWPOd4,chat.completion,1727888114,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
batch_req_66fd7d71c7f081908f4458116ff10079,task-14,,200,035206ab4095dc299b79cc8b6524dd28,chatcmpl-ADwvWEDWeRxo35qCShBBHS4h2T185,chat.completion,1727888142,gpt-4o-mini-2024-07-18,"[{'index': 0, 'message': {'role': 'assistant', 'content': 'Fauna_Flora', 'refusal': None}, 'logprobs': None, 'finish_reason': 'stop'}]",89,5,94,0,0,fp_f85bea6784,Fauna_Flora
